user,item,label,reviews,review_emb1,review_emb2,review_emb3,review_emb4,review_emb5,review_emb6
1,1,5,Our experience at Rancho Valencia was absolutely perfect from beginning to end We felt special and very happy during our stayed I would come back in a heart beat,-4.27195,-1.0045804,0.13834938,0.780114,-0.36243194,0.24679846
2,1,5,Amazing place Everyone was extremely warm and welcoming Weve stayed at some top notch places and this is definitely in our top  Great for a romantic getaway or take the kids along as we did Had a couple stuffed animals waiting for our girls upon arrival can not wait to go back,-2.8981955,0.60836303,-0.5934097,0.14299381,0.36198676,-0.46846363
3,1,5,We booked a  night stay at Rancho Valencia to play some tennis since it is one of the highest rated tennis resorts in America This place is really over the top from a luxury standpoint and overall experience The villas are really perfect the staff is great attention to details includes fresh squeezed orange juice each morning restaurants bar and room service amazing and the tennis program was really impressive as well We will want to come back here again,-5.89595,0.663759,0.07487626,1.989126,0.35509223,0.3499106
4,2,2,Currently in bed writing this for the past hr  there have been dogs barking and squealing call the front desk to advise basically to be told theres nothing they can do  and I can not sleep,-1.010943,-1.5278878,-0.7493751,-0.32538167,0.17896213,-0.42421803
5,2,5,I live in Md and the Aloft is my Home away from homewe stayed  night  Staff is great  Especially Olivia who was Extra special because she remembered me by my voice over the phone which tells me she is very alert and pays attention to the customer their needsAND SHE DID  Thumbs up More,1.079666,3.2893872,1.2535801,-0.40791968,-1.2367811,0.58358604
6,2,5,I stayed here with my family for my daughters wedding It had a very accommodating staff Olivia was excellent The rooms were very well maintained Would highly recommend this hotel especially if your wedding venue is Celebrations at the Bay,5.5792074,-0.47539458,-2.0606723,0.87961113,0.69499105,-0.45182294
7,2,5,Beautiful rooms and the nicest people working there The front desk lady Olivia was extremely patient and helpful We had lots of questions and she had just as many answers The rooms were sleek and modern The only thing that would make this hotel better would be free breakfast but I really am asking for a lot A stay Thank More,-2.1680107,2.4771807,-0.514715,0.19889423,-0.20087484,0.20315465
8,2,5,We stayed here while visiting Maryland Live Cute hotel in a great location Clean with a very modern look upgraded bathrooms and amenities and super nice staff Would definitely recommend and stay there again,-0.7864737,-0.450239,-1.7056906,0.7397695,1.023609,0.70299596
9,2,5,I travel a lot with my job so Im constantly staying at hotels When my coworkers and I arrived late last night at the Aloft the people at the front desk were more than welcoming When I wanted to order room service I was told it was too late however Olivia at the front desk informed me of a Italian More,1.9955229,-0.3382477,1.1234515,-1.0605617,-2.061506,-0.16671257
10,3,5,In my line of work I use meeting space in hotels often In my  years of doing this work this is the first time Ive felt the undeniable pull to go out and write a hotel review based solely on my meeting room experience Though I did not use a guest room here my colleagues who did shared that More,-3.1896727,0.893085,2.2274861,-0.14161268,-1.5432885,-0.18277532
