user,item,label,reviews,review_emb1,review_emb2,review_emb3,review_emb4,review_emb5,review_emb6
1,1,5,Our experience at Rancho Valencia was absolutely perfect from beginning to end!!!! We felt special and very happy during our stayed. I would come back in a heart beat!!!,-0.61561626,0.42245504,0.74222803,-0.06777706,-1.0987812,-0.021984763
2,1,5,Amazing place. Everyone was extremely warm and welcoming. We've stayed at some top notch places and this is definitely in our top . Great for a romantic getaway or take the kids along as we did. Had a couple stuffed animals waiting for our girls upon arrival. can not wait to go back.,-0.55682343,-0.64787024,-1.1655868,-0.107220605,0.040056694,-0.07976539
3,1,5,"We booked a  night stay at Rancho Valencia to play some tennis, since it is one of the highest rated tennis resorts in America. This place is really over the top from a luxury standpoint and overall experience. The villas are really perfect, the staff is great, attention to details (includes fresh squeezed orange juice each morning), restaurants, bar and room service amazing, and the tennis program was really impressive as well. We will want to come back here again.",-3.0458927,-1.2953026,0.60310924,-1.2083935,0.2585231,-0.09490416
4,2,2,Currently in bed writing this for the past hr / there have been dogs barking and squealing call the front desk to advise basically to be told there's nothing they can do. . and I can not sleep.,0.60260904,1.8433309,-0.039397746,0.4047237,-0.5527191,0.04420605
5,2,5,I live in Md and the Aloft is my Home away from home...we stayed  night -- ...Staff is great ! Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs.AND SHE DID ! Thumbs up... More,-0.8397528,1.0737633,1.0346837,-0.11467089,-1.7293373,-0.60104454
6,2,5,"I stayed here with my family for my daughters wedding. It had a very accommodating staff, Olivia was excellent. The rooms were very well maintained. Would highly recommend this hotel, especially if your wedding venue is Celebrations at the Bay!",-1.075374,-0.19991705,-0.100845166,-1.4289061,0.49222997,-0.48024788
7,2,5,"Beautiful rooms and the nicest people working there. The front desk lady, Olivia, was extremely patient and helpful. We had lots of questions and she had just as many answers. The rooms were sleek and modern. The only thing that would make this hotel better would be free breakfast, but I really am asking for a lot. A++ stay. Thank... More",-2.036041,1.048764,-0.07961987,-1.608046,0.067279175,-0.67119974
8,2,5,"We stayed here while visiting Maryland Live!. Cute hotel in a great location. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff. Would definitely recommend and stay there again!",-1.1494473,0.41190305,-0.12391256,-1.2747862,0.246905,0.19175465
9,2,5,"I travel a lot with my job, so I'm constantly staying at hotels. When my co-workers and I arrived late last night at the Aloft the people at the front desk were more than welcoming. When I wanted to order room service I was told it was too late however, Olivia at the front desk informed me of a Italian... More",5.3361,-2.836316,0.7198036,1.3200178,-1.1112616,-0.50549465
10,3,5,"In my line of work, I use meeting space in hotels often. In my + years of doing this work, this is the first time I've felt the undeniable pull to go out and write a hotel review, based solely on my meeting room experience. Though I did not use a guest room here, my colleagues who did shared that... More",0.22605619,-2.3963869,1.2629049,0.23490916,-0.82017237,-0.49601206
